year,quarter,StateCode,State,topicdesc,policytopic,setting,title,status,citation,statusaltvalue,comments,displayorder,policytypeid,healthtopicid,policytopicid,settingid,provisionid,geolocation
2010,1,NY,New York,Obesity,Incentives,Community,State Fiscal Plan,Dead,S6610,3,"(Abstract - Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2010-2011 state fiscal year.), (BillHistory - 01/19/2010 - INTRODUCED.;01/19/2010 - To SENATE Committee on FINANCE.;02/17/2010 - Amended in SENATE Committee on FINANCE.)",38,LEG,002OB,029INC,002COM,1641,"(42.827001032, -75.543970427)"
2011,1,WV,West Virginia,Nutrition,Appropriations,Community,Sales Tax on Food,Dead,H2977,3,"(Abstract - Eliminates the sales tax on food effective July 1, 2011.   ), (BillHistory - 02/01/2011 - INTRODUCED.;02/01/2011 - To HOUSE Committee on FINANCE.)",2,LEG,001NUT,002APP,002COM,4781,"(38.665510202, -80.712640135)"
2011,1,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Pedestrian Safety,Dead,SD19,3,"(Abstract - Relates to pedestrian safety.   ), (BillHistory - 01/21/2011 - FILED.;01/21/2011 - Assigned SENATE Bill No. 1767)",68,LEG,003PA,049BED,002COM,4090,"(42.27687047, -72.082690675)"
2010,1,NC,North Carolina,Obesity,Menu Labeling,Community,Governors Budget,Dead,H1793,3,"(Abstract - Concerns governors budget. ), (BillHistory - 05/18/2010 - FILED.;05/19/2010 - INTRODUCED.;05/19/2010 - To HOUSE Committee on APPROPRIATIONS.)",41,LEG,002OB,032MNL,002COM,2908,"(35.466220975, -79.159250463)"
2011,1,FL,Florida,Physical Activity,"Parks, Recreation and Trails",School/After School,Chronic Diseases<br>,Dead,S526,3,"(Abstract - ""Creates the chronic disease prevention and health promotion program and the state-level program for chronic disease prevention. Requires the Department of Health (“Department”) support the creation of public health programs at the state and community levels in order to reduce the incidence of mortality and morbidity from chronic diseases for which risk factors, including being overweight or obese, physical inactivity, and poor diet and nutrition habits, among other things, can be identified. Requires the Department promote programs for people at every stage of their lives to increase physical fitness and encourage healthy behavior changes by: (1) working with school health advisory committees in each school district to encourage the physical activity of students, staff, and teachers; (2) developing public and private partnerships that allow the public to easily access recreational facilities and public land areas that are suitable for physical activity; (3) collaborating with the Department of education in recognizing nationally accepted best practices for improving physical education in schools. Requires the Department promote healthy lifestyles to reduce the rate of obesity and encourage weight control and weight reduction through programs that are directed towards all residents of this state by: (1) using all appropriate media to promote maximum public awareness of the latest research on healthy lifestyles and chronic diseases and disseminating relevant information relating to wellness, physical activity, and nutrition;(2) providing technical assistance, training, and resources on healthy lifestyles and chronic diseases to people or entities that request such assistance; (3) developing, implementing, and using all available research methods to collect data, including, but not limited to, population-specific data, and tracking the incidence and effects of weight gain, obesity, and related chronic diseases; (4) entering into partnerships with the department of education, local communities, school districts, and other entities to encourage schools in the state to promote activities during and after school to help students meet a minimum goal of 30 minutes of physical fitness activities per day; and (5) collaborating with other state agencies to develop policies and strategies for preventing and treating obesity, which must be incorporated into programs administered by each agency and must include promoting healthy lifestyles among the employees of each agency. Requires the Department promote regular health visits during a person's lifetime, including annual physical examinations that include measuring body mass index and vital signs, among other things.  Allows  each state agency to conduct employee wellness programs in buildings and on lands owned or leased by the state. Requires the Department to serve as a model for the development and implementation of employee wellness programs that may include physical fitness, healthy nutrition, self-management of disease, wellness and fitness education, and behavioral change elements. ""), (BillHistory - 10/12/2011PREFILED; 11/02/2011To SENATE Committee on HEALTH REGULATION; 11/02/2011Referred to SENATE Committee on BUDGET; 01/10/2012INTRODUCED; 01/10/2012; To SENATE Committee on HEALTH REGULATION; 01/10/2012Referred to SENATE Committee on BUDGET; 03/09/2012In SENATE. Died in committee.)",59,LEG,003PA,034PRT,004SAS,5615,"(28.932040377, -81.928960539)"
2011,1,FL,Florida,Obesity,Health Insurance Coverage,Community,Chronic Diseases<br>,Dead,S526,3,"(Abstract - ""Creates the chronic disease prevention and health promotion program and the state-level program for chronic disease prevention. Requires the Department of Health (“Department”) support the creation of public health programs at the state and community levels in order to reduce the incidence of mortality and morbidity from chronic diseases for which risk factors, including being overweight or obese, physical inactivity, and poor diet and nutrition habits, among other things, can be identified. Requires the Department promote programs for people at every stage of their lives to increase physical fitness and encourage healthy behavior changes by: (1) working with school health advisory committees in each school district to encourage the physical activity of students, staff, and teachers; (2) developing public and private partnerships that allow the public to easily access recreational facilities and public land areas that are suitable for physical activity; (3) collaborating with the Department of education in recognizing nationally accepted best practices for improving physical education in schools. Requires the Department promote healthy lifestyles to reduce the rate of obesity and encourage weight control and weight reduction through programs that are directed towards all residents of this state by: (1) using all appropriate media to promote maximum public awareness of the latest research on healthy lifestyles and chronic diseases and disseminating relevant information relating to wellness, physical activity, and nutrition;(2) providing technical assistance, training, and resources on healthy lifestyles and chronic diseases to people or entities that request such assistance; (3) developing, implementing, and using all available research methods to collect data, including, but not limited to, population-specific data, and tracking the incidence and effects of weight gain, obesity, and related chronic diseases; (4) entering into partnerships with the department of education, local communities, school districts, and other entities to encourage schools in the state to promote activities during and after school to help students meet a minimum goal of 30 minutes of physical fitness activities per day; and (5) collaborating with other state agencies to develop policies and strategies for preventing and treating obesity, which must be incorporated into programs administered by each agency and must include promoting healthy lifestyles among the employees of each agency. Requires the Department promote regular health visits during a person's lifetime, including annual physical examinations that include measuring body mass index and vital signs, among other things.  Allows  each state agency to conduct employee wellness programs in buildings and on lands owned or leased by the state. Requires the Department to serve as a model for the development and implementation of employee wellness programs that may include physical fitness, healthy nutrition, self-management of disease, wellness and fitness education, and behavioral change elements. ""), (BillHistory - 10/12/2011PREFILED; 11/02/2011To SENATE Committee on HEALTH REGULATION; 11/02/2011Referred to SENATE Committee on BUDGET; 01/10/2012INTRODUCED; 01/10/2012; To SENATE Committee on HEALTH REGULATION; 01/10/2012Referred to SENATE Committee on BUDGET; 03/09/2012In SENATE. Died in committee.)",37,LEG,002OB,028HIC,002COM,5615,"(28.932040377, -81.928960539)"
2008,1,NH,New Hampshire,Obesity,Food Restrictions,Community,Poultry Sales,Dead,LSR87,3,"(Abstract - Relates to the sale of poultry at farmers' markets and farm stands.), (BillHistory - 09/26/2008 - FILED.)",35,LEG,002OB,020FOR,002COM,431,"(43.655950113, -71.50036092)"
2009,1,NY,New York,Nutrition,Appropriations,Community,Nutrition and Fitness Website,Dead,A5476,3,"(Abstract - Creates a nutrition and fitness website.), (BillHistory - 02/13/2009 - INTRODUCED.;02/13/2009 - To ASSEMBLY Committee on HEALTH.)",2,LEG,001NUT,002APP,002COM,461,"(42.827001032, -75.543970427)"
2010,1,HI,Hawaii,Nutrition,Appropriations,Community,Aliomanu Road Reconstruction,Dead,S2060,3,"(Abstract - Authorizes the issuance of General Obligation bonds for the County of Kauai. ), (BillHistory - 01/20/2010 - INTRODUCED.;01/20/2010 - To SENATE Committee on WAYS AND MEANS.)",2,LEG,001NUT,002APP,002COM,2570,"(21.304850435, -157.857749403)"
2009,1,NY,New York,Nutrition,Nutrition Standards,Community,Nutrition and Fitness Website,Dead,A5476,3,"(Abstract - Creates a nutrition and fitness website.), (BillHistory - 02/13/2009 - INTRODUCED.;02/13/2009 - To ASSEMBLY Committee on HEALTH.)",6,LEG,001NUT,010NUS,002COM,461,"(42.827001032, -75.543970427)"
